SK_ID_CURR,TARGET
100001,0.0650511535036589
100005,0.12640086286207208
100013,0.08123883481753807
100028,0.06150936361445503
100038,0.1283076432624615
100042,0.055893562654302634
100057,0.08303505659957816
100065,0.12547014945404755
100066,0.05035906244185301
100067,0.1032945696770485
100074,0.06324561358749237
100090,0.11512749959390196
100091,0.11715822104511223
100092,0.09810110738049091
100106,0.15582105555336914
100107,0.11181272003296608
100109,0.09856982364431131
100117,0.07621643925456377
100128,0.0734935018500487
100141,0.08792808085047804
100150,0.07549698001080193
100168,0.06499484686526813
100169,0.044324958226132326
100170,0.08690339091889712
100171,0.09982796639888057
100172,0.12153726652090693
100184,0.07391717210447454
100187,0.061739081507788764
100212,0.08580741486609224
100222,0.08476303380360349
100223,0.06309495139766638
100232,0.0732464175662123
100241,0.14118941603018179
100245,0.07944665703268997
100253,0.06144341107720488
100256,0.09450552250060656
100271,0.05483319047297363
100278,0.10646984965464179
100280,0.07066897821557809
100306,0.15388845599462242
100311,0.10708583173122695
100312,0.06354206411778845
100330,0.07495907404325673
100331,0.08947734436037082
100352,0.09284457873378954
100358,0.09300646295957891
100367,0.08562889481562194
100382,0.08528106471159597
100384,0.07421528114337465
100385,0.11568043013464609
100386,0.09037798935695128
100399,0.07180169163277547
100404,0.06926376142877241
100416,0.07177980818878771
100422,0.12102744691321068
100426,0.07943465420508547
100438,0.06845415904714293
100444,0.11472582332051398
100445,0.12338752376867884
100446,0.11718791412933058
100447,0.06484685933662424
100450,0.07368489794081394
100466,0.08577776882932893
100483,0.0728852833188856
100484,0.052560838077373676
100494,0.08403868913148654
100510,0.1255061236427396
100512,0.05955091684647272
100517,0.06955169980080017
100548,0.05836370540743315
100551,0.07007066447882378
100552,0.1256188788202177
100553,0.08592070699338528
100561,0.09290545248633339
100568,0.12349820383732113
100569,0.06932599505218799
100591,0.09532500450649674
100592,0.04786700047993433
100602,0.10761530978210722
100607,0.07915733752121466
100613,0.08342402592094017
100617,0.07819070190652498
100618,0.0914086441033472
100622,0.16354194746655257
100625,0.12431263176237183
100677,0.08352778474211331
100699,0.0767066057291197
100702,0.13677986299869765
100711,0.08414673212557172
100729,0.13700498689615462
100740,0.1181603328716477
100744,0.10482654720052269
100745,0.10250459482496331
100747,0.10006022563221771
100751,0.11105572463681823
100752,0.08554727492674782
100753,0.14571359597809908
100754,0.09584956063196276
100760,0.10778869724450367
100762,0.094147659326635
100763,0.07689646213231555
100765,0.07605647559910429
100770,0.1016511591113218
100772,0.08600916255940488
100777,0.08513413574717509
